id,tweet_text,labeled_brand_or_product,detected_emotion,sentiment,brand,tweet_char_count
257,Say what? Apple #sxsw popup store in Austin! {link} ~@mention @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,70
258,"BREAKING: Apple announces partnership w/porn industry for new #ipad2 video chat app called, &quot;O-FaceTime&quot;. #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Apple,121
263,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. http:/ {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,126
265,"#technews Apple heads to SXSW, sets up temporary store in Austin {link} #Tech_News #Apple #iPad_2 #Rance_Wilemon #SXSW #tech",UNKNOWN,No emotion toward brand or product,Neutral,Apple,124
271,"At #SXSW, Apple schools the marketing experts  {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,53
278,���@mention Apple store downtown Austin open til Midnight. #sxsw�۝ any ipad2 left in stock?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,91
279,@mention  Apple Store on Congress  {link} #sxsw #austin,UNKNOWN,No emotion toward brand or product,Neutral,Apple,55
281,2wks only Apple Store in 6th Austin street is now opened. #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,63
282,A special Apple store: opening at 6th and Congress for SXSW &amp; ipad 2 launch. www.apple.com/retail/thedomain/  #Apple #iPad2 #sxsw #fb,UNKNOWN,No emotion toward brand or product,Neutral,Apple,137
284,Temporary Apple store at #sxsw - huge line. {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,50
287,"Temporary apple store for #sxsw, line goes around the block {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,66
288,Temporary Apple store opens @mention 6th &amp; Congress tomorrow. #ipad2 #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,78
291,The #sxsw Apple store opens at noon each day and closes when they run out of iPad2s. Why didn't I buy stock 10 years ago?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,121
292,Base Camp Apple.  #SXSW {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,30
296,The lines are already forming at Apple's pop-up store in Austin. Aren't these people here to see the festival? {link} #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,123
298,"#Sxsw You are attending SXSW? report what you see with your Android phone, get Bannka app.",UNKNOWN,No emotion toward brand or product,Neutral,Google,90
300,"My tweets are stalled. Data sluggish. Come on AT&amp;T, Verizon is embarrassing iPhone customers who haven't switched. #SXSW #iPhone",UNKNOWN,No emotion toward brand or product,Neutral,Apple,132
301,"Those who are tweeting that Google is coming out with Circles platform today are outside of the circle, keep up #itsnot #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,125
302,���@mention Are you Stupid? Find it out at the #sxsw on your Mac {link} for a special price! #games #Mac�۝,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,106
303,Slate see as much traffic to mobile safari as to their app on the iPad #sxsw #electricnews,UNKNOWN,No emotion toward brand or product,Neutral,Apple,90
304,Unloading at #apple store corner of 6th and congress in Austin. Temp store for #SXSW  {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
305,Great day at #SXSW -BUT jaloux of @mention &amp; HIS NEW iPad.Look at him on school bus on 1st day of school {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,115
306,I arrived at #sxsw and my @mention issue hasn't been resolved. Dying to use the iPhone app but cant login. RT@mention @mention we're on it,iPad or iPhone App,No emotion toward brand or product,Neutral,Apple,138
307,I will be at #sxsw for Screenburn @mention launch of my clients new iPhone game #travellerARlaunch find out more at {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,122
308,"If anyone at #sxsw wants to see a demo of PicCraft or an ipad 2, find me",UNKNOWN,No emotion toward brand or product,Neutral,Apple,72
309,If I were at #SXSW I could spend it all at the @mention Teaching Theater alone; just look at that schedule: {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,114
310,If you're at #SXSW : meet us at Fado. We will give you wristbands that magically lead to beer. Come say hi! {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,114
311,"If you're at #SXSW and want an iPad 2, Apple's setting up a temporary store. Check it out! {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,97
314,"If you're at #sxsw, meet our author, and a host of Android devs, Sat. at 12:30pm, Hilton room 615AB.",UNKNOWN,No emotion toward brand or product,Neutral,Google,100
316,"For those at #SXSW: Apple sets up 5,000-square-foot temporary store at SXSW to sell new iPads, test potential traffic {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,124
317,Overheard at #SXSW: &quot;Google doesn't launch products at other people's events.&quot;,UNKNOWN,No emotion toward brand or product,Neutral,Google,88
318,Nerd bait at #SXSW! Apple set to open popup shop in core of SXSW action {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,78
319,Long line at #sxsw? What Else?  Apple Store {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,50
329,The queue at the apple pop-up store #sxsw {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,48
330,The queue at the Apple Store in Austin is FOUR blocks long. Crazy stuff! #sxsw,UNKNOWN,I can't tell,Neutral,Apple,78
331,"Posted up at the DMI House, Intimate Stranger on the stage, they got a restaurant crowd sitting down to deal wif  #sxsw {link}",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,126
332,The woman at the Google talk sounded JUST like Chelsea Handler! Lol #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,73
336,is anyone attending to the google &amp; aclu party @mention sxsw? if so could you plz up some pictures? thanks! #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,117
337,"March 11. Austin, TX. Will people line up at the #SXSW registration or at the Apple Store? ^_^",UNKNOWN,No emotion toward brand or product,Neutral,Apple,94
338,Landed in Austin. Spotted the Google Places Ads for #SxSW at the airport: &quot;The Ultimate Austin Pocket Guide&quot;. More like #Yelp than #iTourU,UNKNOWN,No emotion toward brand or product,Neutral,Google,148
340,���@mention Awesome to meet @mention @mention and @mention standing in the Apple queue at #sxsw yesterday. On to Day 2.�۝&lt;&lt; so cute!,UNKNOWN,No emotion toward brand or product,Neutral,Apple,138
342,".@mention Bahrain govt turned off Google Earth. As a result, more people learned about it and govt had to turn it back on. #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,128
344,Racing to ballroom D to see @mention Marissa Mayer. #sxsw #sxswi,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,64
347,will this be another google wave? RT @mention We interrupt your regularly scheduled #sxsw geek programming w/big #google news {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,132
350,Yeah I'll be there for sure! --&gt;RT @mention @mention @mention check this: {link} #SXSW #google,UNKNOWN,No emotion toward brand or product,Neutral,Google,97
