tweet_text,labeled_brand_or_product,detected_emotion,sentiment,brand,tweet_char_count
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,Positive,Google,144
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,Positive,Apple,155
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,Positive,Apple,107
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,Positive,Google,84
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,Positive,Apple,139
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,Positive,Google,94
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,Positive,Apple,115
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,Positive,Apple,134
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",UNKNOWN,No emotion toward brand or product,Neutral,Google,99
Anyone at  #sxsw want to sell their old iPad?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,45
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,77
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",UNKNOWN,No emotion toward brand or product,Neutral,Google,108
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,Positive,Apple,141
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,117
@mention  - False Alarm: Google Circles Not Coming Now���and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,Negative,Google,119
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,BOTH,70
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,Positive,Apple,144
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you�۪re getting friend... {link}",UNKNOWN,No emotion toward brand or product,Neutral,BOTH,127
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we�۪ll make you one!,UNKNOWN,No emotion toward brand or product,Neutral,Apple,128
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,74
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,123
Hand-Held ���Hobo�۪: Drafthouse launches ���Hobo With a Shotgun�۪ iPhone app #SXSW {link},UNKNOWN,Positive emotion,Positive,Apple,89
HOORAY RT ���@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,Positive,Apple,91
Orly....? ���@mention Google set to launch new social network #Circles today at #sxsw�۝,UNKNOWN,No emotion toward brand or product,Neutral,Google,87
wooooo!!! ���@mention Apple store downtown Austin open til Midnight. #sxsw�۝,Apple,Positive emotion,Positive,Apple,76
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,141
"���@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,128
��� WHAT? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,79
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,92
���@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw�۝ @mention,UNKNOWN,No emotion toward brand or product,Neutral,Google,116
���@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝,Google,Positive emotion,Positive,Google,116
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",UNKNOWN,No emotion toward brand or product,Neutral,Google,145
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,Positive,Apple,127
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,90
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,75
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,UNKNOWN,No emotion toward brand or product,Neutral,Apple,126
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,BOTH,90
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,Neutral,Apple,145
Again? RT @mention Line at the Apple store is insane.. #sxsw,UNKNOWN,Negative emotion,Negative,Apple,60
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,141
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,88
attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,Negative,Apple,53
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",UNKNOWN,Negative emotion,Negative,BOTH,94
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,Positive,Apple,114
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,117
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,136
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,Positive,Google,119
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,123
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",UNKNOWN,No emotion toward brand or product,Neutral,Google,134
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,Positive,Google,77
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,Positive,Apple,82
I worship @mention {link} #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,31
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,Apple,129
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,123
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple,112
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple,89
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,UNKNOWN,No emotion toward brand or product,Neutral,Apple,112
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,Positive,Apple,123
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,Positive,Google,131
Stay tune @mention showcase #H4ckers {link} #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,49
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,91
Thank you @mention for an awesome #sxsw party! {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,53
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,126
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Positive,Apple,118
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,UNKNOWN,I can't tell,Neutral,UNKNOWN,116
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,120
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,Negative,Apple,106
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,72
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,Positive,Apple,136
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,Positive,Apple,122
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,101
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,Positive,Google,90
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,UNKNOWN,No emotion toward brand or product,Neutral,Google,110
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",UNKNOWN,No emotion toward brand or product,Neutral,Google,128
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,Positive,Apple,119
���@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,UNKNOWN,I can't tell,Neutral,Apple,127
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,UNKNOWN,Negative emotion,Negative,Apple,100
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,Positive,Google,121
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",UNKNOWN,No emotion toward brand or product,Neutral,Google,135
"���@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.�۝",Google,Positive emotion,Positive,Google,140
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",UNKNOWN,No emotion toward brand or product,Neutral,Google,143
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,Positive,Apple,137
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,UNKNOWN,No emotion toward brand or product,Neutral,Apple,95
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Positive,Apple,109
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},UNKNOWN,Positive emotion,Positive,Google,85
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,57
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,Positive,Apple,130
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,74
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,Positive,Apple,55
"At #SXSW, #Apple schools the marketing experts {link}",UNKNOWN,No emotion toward brand or product,Neutral,Apple,53
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,Positive,Apple,77
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,Positive,Apple,92
���@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,Positive,Apple,122
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,109
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,UNKNOWN,No emotion toward brand or product,Neutral,Apple,127
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,Positive,Apple,117
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,Positive,Apple,104
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,Positive,Apple,39
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,Positive,Apple,115
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",UNKNOWN,No emotion toward brand or product,Neutral,Google,103
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,87
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,UNKNOWN,Positive emotion,Positive,Google,102
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Google,101
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",UNKNOWN,No emotion toward brand or product,Neutral,Apple,74
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,Positive,Apple,120
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,Positive,Apple,58
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,UNKNOWN,No emotion toward brand or product,Neutral,Google,136
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,73
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,UNKNOWN,No emotion toward brand or product,Neutral,Apple,116
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,99
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,UNKNOWN,No emotion toward brand or product,Neutral,Apple,78
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,Positive,Apple,101
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,Positive,Apple,64
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,UNKNOWN,No emotion toward brand or product,Neutral,Apple,96
���@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.�۝,iPad or iPhone App,Positive emotion,Positive,Apple,110
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,Positive,Apple,52
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,UNKNOWN,No emotion toward brand or product,Neutral,Apple,129
���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ @mention Did you manage to get yours?,iPad,Positive emotion,Positive,Apple,120
���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ also known as the white jeans configuration.,iPad,Positive emotion,Positive,Apple,127
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive emotion,Positive,Apple,111
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,UNKNOWN,No emotion toward brand or product,Neutral,Google,99
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,67
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,76
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,UNKNOWN,No emotion toward brand or product,Neutral,Apple,115
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,UNKNOWN,Positive emotion,Positive,Apple,99
"More free #SXSW mp3 downloads, this time from iTunes: {link}",UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,60
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,UNKNOWN,No emotion toward brand or product,Neutral,Google,81
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,UNKNOWN,No emotion toward brand or product,Neutral,Google,81
The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive emotion,Positive,Apple,57
Essential #sxsw tools: {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,29
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive emotion,Positive,Google,127
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",UNKNOWN,No emotion toward brand or product,Neutral,Google,138
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,UNKNOWN,No emotion toward brand or product,Neutral,Apple,123
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion,Positive,Apple,117
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),UNKNOWN,No emotion toward brand or product,Neutral,Apple,101
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion,Positive,Google,134
Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,88
"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative emotion,Negative,Apple,126
Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,Positive,Apple,91
ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative emotion,Negative,Apple,56
attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive emotion,Positive,Apple,107
I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive emotion,Positive,Apple,72
Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,93
Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Apple,136
This is a #WINNING picture #android #google #sxsw {link},Android,Positive emotion,Positive,Google,56
GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,UNKNOWN,No emotion toward brand or product,Neutral,Google,98
GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},UNKNOWN,No emotion toward brand or product,Neutral,Google,74
"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,Negative emotion,Negative,Apple,127
Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive emotion,Positive,Apple,85
It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive emotion,Positive,Apple,108
.@mention 1154 free songs from #SXSW (this year alone!) {link},UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,62
more than 150 million mobile users for Google Maps for Mobile #SXSW,UNKNOWN,No emotion toward brand or product,Neutral,Google,67
Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,72
"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",UNKNOWN,No emotion toward brand or product,Neutral,Apple,119
��� We love 2 entertain you��_Please don�۪t be grateful! ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,UNKNOWN,No emotion toward brand or product,Neutral,UNKNOWN,126
Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,UNKNOWN,No emotion toward brand or product,Neutral,Apple,84
"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative emotion,Negative,Apple,104
(The iPad 2 queue at #sxsw of course,UNKNOWN,No emotion toward brand or product,Neutral,Apple,36
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive emotion,Positive,Apple,56
many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive emotion,Positive,Apple,56
Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,94
Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,UNKNOWN,No emotion toward brand or product,Neutral,Google,98
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,Positive,Apple,92
New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},UNKNOWN,No emotion toward brand or product,Neutral,Apple,92
sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive emotion,Positive,Google,59
More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive emotion,Positive,Google,81
rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ��� about 250 people! Only one more hour. ' #sxsw,UNKNOWN,No emotion toward brand or product,Neutral,Apple,125
