id,tweet_text,labeled_brand_or_product,detected_emotion,sentiment,brand,tweet_char_count
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,Positive,Apple,155
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,Positive,Apple,107
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,Positive,Google,84
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,Positive,Apple,139
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,Positive,Google,94
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,Positive,Apple,115
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,Positive,Apple,134
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,Positive,Apple,141
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,Positive,Apple,144
45,Hand-Held ���Hobo�۪: Drafthouse launches ���Hobo With a Shotgun�۪ iPhone app #SXSW {link},UNKNOWN,Positive emotion,Positive,Apple,89
46,HOORAY RT ���@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,Positive,Apple,91
48,wooooo!!! ���@mention Apple store downtown Austin open til Midnight. #sxsw�۝,Apple,Positive emotion,Positive,Apple,76
54,���@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝,Google,Positive emotion,Positive,Google,116
56,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,Positive,Apple,127
67,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,Positive,Apple,114
70,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,Positive,Google,119
73,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,Positive,Google,77
74,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,Positive,Apple,82
78,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple,112
79,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,Positive,Apple,89
81,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,Positive,Apple,123
82,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,Positive,Google,131
87,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,Positive,Apple,118
93,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,Positive,Apple,136
94,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,Positive,Apple,122
96,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,Positive,Google,90
99,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,Positive,Apple,119
102,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,Positive,Google,121
104,"���@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.�۝",Google,Positive emotion,Positive,Google,140
106,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,Positive,Apple,137
108,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,Positive,Apple,109
109,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},UNKNOWN,Positive emotion,Positive,Google,85
111,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,Positive,Apple,130
113,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,Positive,Apple,55
115,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,Positive,Apple,77
116,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,Positive,Apple,92
117,���@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,Positive,Apple,122
120,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,Positive,Apple,117
121,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,Positive,Apple,104
122,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,Positive,Apple,39
123,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,Positive,Apple,115
126,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,UNKNOWN,Positive emotion,Positive,Google,102
130,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,Positive,Apple,120
131,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,Positive,Apple,58
137,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,Positive,Apple,101
138,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,Positive,Apple,64
140,���@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.�۝,iPad or iPhone App,Positive emotion,Positive,Apple,110
141,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,Positive,Apple,52
143,���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ @mention Did you manage to get yours?,iPad,Positive emotion,Positive,Apple,120
144,���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ also known as the white jeans configuration.,iPad,Positive emotion,Positive,Apple,127
145,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive emotion,Positive,Apple,111
150,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,UNKNOWN,Positive emotion,Positive,Apple,99
154,The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive emotion,Positive,Apple,57
156,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive emotion,Positive,Google,127
159,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion,Positive,Apple,117
161,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion,Positive,Google,134
164,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,Positive,Apple,91
166,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive emotion,Positive,Apple,107
167,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive emotion,Positive,Apple,72
170,This is a #WINNING picture #android #google #sxsw {link},Android,Positive emotion,Positive,Google,56
174,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive emotion,Positive,Apple,85
175,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive emotion,Positive,Apple,108
184,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive emotion,Positive,Apple,56
185,many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive emotion,Positive,Apple,56
188,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,Positive,Apple,92
190,sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive emotion,Positive,Google,59
191,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive emotion,Positive,Google,81
197,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,Positive emotion,Positive,Google,135
202,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive emotion,Positive,Apple,88
205,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive emotion,Positive,Apple,142
208,"Not to be a rumor monger, but this was a good read �_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive emotion,Positive,Google,137
210,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,Positive emotion,Positive,Apple,85
211,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive emotion,Positive,Apple,138
214,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,Positive emotion,Positive,Apple,106
225,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,Positive emotion,Positive,Apple,124
231,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Apple,Positive emotion,Positive,Apple,96
235,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,iPad,Positive emotion,Positive,Apple,74
236,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Google,Positive emotion,Positive,Google,84
242,marketing and sales GENIUS: {link} #Apple #SXSW,Apple,Positive emotion,Positive,Apple,47
248,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",iPhone,Positive emotion,Positive,Apple,136
250,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,iPad or iPhone App,Positive emotion,Positive,Apple,88
253,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,iPad or iPhone App,Positive emotion,Positive,Apple,129
255,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android App,Positive emotion,Positive,Google,94
260,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Apple,Positive emotion,Positive,Apple,126
261,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Apple,Positive emotion,Positive,Apple,122
262,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,iPad,Positive emotion,Positive,Apple,125
264,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Apple,Positive emotion,Positive,Apple,122
266,���@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Apple,Positive emotion,Positive,Apple,122
267,���@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Apple,Positive emotion,Positive,Apple,116
269,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",iPad,Positive emotion,Positive,Apple,138
270,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Apple,Positive emotion,Positive,Apple,89
272,"At #SXSW, Apple schools the marketing experts {link}",Apple,Positive emotion,Positive,Apple,52
273,"At #SXSW, Apple schools the marketing experts {link} via @mention",Apple,Positive emotion,Positive,Apple,65
274,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,Positive emotion,Positive,Apple,134
275,"At #SXSW, Apple schools the marketing experts | CNET - {link}",Apple,Positive emotion,Positive,Apple,61
276,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Apple,Positive emotion,Positive,Apple,86
277,���@mention Apple store downtown Austin open til Midnight. #sxsw�۝ @mention there's still time :),Apple,Positive emotion,Positive,Apple,97
283,Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,Apple,Positive emotion,Positive,Apple,82
285,Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,iPad,Positive emotion,Positive,Apple,87
286,Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,Apple,Positive emotion,Positive,Apple,102
289,Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,Apple,Positive emotion,Positive,Apple,119
290,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,Apple,Positive emotion,Positive,Apple,121
294,10 iPhone Apps you�۪ll Probably Need and Use During #SXSW {link},iPad or iPhone App,Positive emotion,Positive,Apple,64
295,Now there are 150 million mobile google maps users @mention #sxsw,Other Google product or service,Positive emotion,Positive,Google,65
297,And a few are Android too RT @mention 10 New Mobile Apps I�۪ll Be Using at��#SXSW  {link},Android App,Positive emotion,Positive,Google,89
299,"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",iPad or iPhone App,Positive emotion,Positive,Apple,120
312,Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,Positive emotion,Positive,Apple,84
320,"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",iPad,Positive emotion,Positive,Apple,131
321,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",Apple,Positive emotion,Positive,Apple,73
322,"���@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSW�۝",Google,Positive emotion,Positive,Google,118
323,knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,iPad,Positive emotion,Positive,Apple,126
325,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",Apple,Positive emotion,Positive,Apple,100
326,First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,UNKNOWN,Positive emotion,Positive,Google,82
327,Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,iPad,Positive emotion,Positive,Apple,99
328,If ur not at the #google #aclu 80's party....u should be! #sxsw,Google,Positive emotion,Positive,Google,63
333,I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw,iPad,Positive emotion,Positive,Apple,128
334,Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,Positive emotion,Positive,Apple,135
335,Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...,iPad,Positive emotion,Positive,Apple,115
345,My iPhone battery at 100%. #winning at #SXSW,iPhone,Positive emotion,Positive,Apple,44
348,this will be fun to watch. #ipadmadness RT @mention Apple Opening Pop-Up Store In Austin For SXSW {link} #sxsw,Apple,Positive emotion,Positive,Apple,110
349,This will be out of control: #Apple set to open popup shop in core of #SXSW action {link} via @mention  cc @mention,Apple,Positive emotion,Positive,Apple,115
351,Celebrate Beauty of the Web @mention the MSFT #IE9 launch &amp; play our new #html5 game to win an iPad2 {link} #sxsw,iPad,Positive emotion,Positive,Apple,117
358,IPad 2 is better..they have had time to improve #sxsw,iPad,Positive emotion,Positive,Apple,53
360,{link} Go beyond Earth Hour this year by sharing positive actions with the world. Download the #EarthHour 60+ iPhone app. #SXSW,iPad or iPhone App,Positive emotion,Positive,Apple,127
363,Of course Bing results are good they are Google's:) #SEO #SXSW #qagb,Google,Positive emotion,Positive,Google,68
369,impulsive buy = all your friends at #SXSW -&gt; I now have one too. Selling my 1st gen 32gb 3g iPad now,iPad,Positive emotion,Positive,Apple,103
370,���@mention Buying 2 new iPad's with @mention #geekdate #apple #sxsw #ipad2�۝ :),iPad,Positive emotion,Positive,Apple,80
371,Someone's buying herself a present ;-) RT @mention Apple Is Opening A Pop-Up Store In Austin For #SXSW {link},Apple,Positive emotion,Positive,Apple,109
372,Nice find by RSQ's @mention {link} #sxsw #iPad #app,iPad or iPhone App,Positive emotion,Positive,Apple,51
375,&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,UNKNOWN,Positive emotion,Positive,Google,76
377,"Exciting, can�۪t wait! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link}",Apple,Positive emotion,Positive,Apple,132
378,"Great for certain meetings. RT @mention Hello, Holler Gram, our new iPad app {link} #hollergram #sxsw",iPad or iPhone App,Positive emotion,Positive,Apple,101
379,Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw,Google,Positive emotion,Positive,Google,123
395,"If you're coming to #SXSW be sure to download the SXSW Go app, it has all the schedules and locations of the events. {link}",iPad or iPhone App,Positive emotion,Positive,Apple,123
396,Seriously considering leaving my MacBook Pro at home and flying solo with the iPad for a week. Think I can make it work? #sxsw,iPad,Positive emotion,Positive,Apple,126
409,Four more days! #ipad #sxsw #weekend #battlela,iPad,Positive emotion,Positive,Apple,46
417,Google TV demo at the league for extraordinary hackers. Cool stuff! I like Web apps on TV. #google #sxsw #lxh,Other Google product or service,Positive emotion,Positive,Google,109
418,Best iPad design: Big chunky elements. Generous space. Clarity trumps density. Tap quality trumps tap quantity. #tapworthy #sxsw,iPad,Positive emotion,Positive,Apple,128
419,Attending Designing iPad Interfaces - New Navigation Schemas w/ @mention Great stuff so far.  #sxsw,iPad,Positive emotion,Positive,Apple,99
429,Lovin the digital! @mention band sings into iPhone &amp; plays guitar app as fans record vids on iPad2s #CNN Digital #cnngrill #sxsw #sxswi,UNKNOWN,Positive emotion,Positive,Apple,139
432,We really DO need another big social network right now - thanks! #SXSW #Google {link},Other Google product or service,Positive emotion,Positive,Google,85
450,"Before It Even Begins, #Apple Wins #SXSW {link} #tc #apple",Apple,Positive emotion,Positive,Apple,58
451,"Before It Even Begins, #Apple Wins #SXSW {link} by @mention",Apple,Positive emotion,Positive,Apple,59
452,"Before it even begins, #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch #genius",Apple,Positive emotion,Positive,Apple,125
454,"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",Apple,Positive emotion,Positive,Apple,67
455,"Before It Even Begins, Apple Wins #SXSW {link}",Apple,Positive emotion,Positive,Apple,46
456,"Before it even begins, Apple wins #SXSW {link}",Apple,Positive emotion,Positive,Apple,46
458,"Before It Even Begins, Apple Wins #SXSW {link} /by @mention for @mention",Apple,Positive emotion,Positive,Apple,72
459,"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention",Apple,Positive emotion,Positive,Apple,85
460,"Before It Even Begins, Apple Wins #SXSW {link} on @mention",Apple,Positive emotion,Positive,Apple,58
461,"Before It Even Begins, Apple Wins #SXSW {link} via @mention",Apple,Positive emotion,Positive,Apple,59
462,"Before It Even Begins, Apple Wins��#SxSW, {link} -&gt; gonna get sum! via @mention",Apple,Positive emotion,Positive,Apple,82
463,"Before It Even Begins, Apple Wins SXSW - TechCrunch {link} #sxsw",Apple,Positive emotion,Positive,Apple,64
464,"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",Apple,Positive emotion,Positive,Apple,82
465,"Before It Even Begins, Apple Wins SXSW {link} #Apple #iPad2 #PM #SXSW",Apple,Positive emotion,Positive,Apple,69
466,"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC",Apple,Positive emotion,Positive,Apple,69
467,"Before It Even Begins, Apple Wins��SXSW {link} #apple #sxsw",Apple,Positive emotion,Positive,Apple,59
468,"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw",Apple,Positive emotion,Positive,Apple,69
469,"Before It Even Begins, Apple Wins��SXSW {link} via @mention #apple #sxsw",Apple,Positive emotion,Positive,Apple,72
470,"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW",Apple,Positive emotion,Positive,Apple,81
471,Badgeless event! Free Drinks! ���@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de Ch��o #sxsw�۝,Google,Positive emotion,Positive,Google,140
472,"BEST SWAG EVER. Thanks @mention My charging iPhone thanks you, too. #SXSW {link}",iPhone,Positive emotion,Positive,Apple,80
475,Timing is everything! iPad 2: Brand Winner at SXSW by @mention {link} #pnid #sxsw,iPad,Positive emotion,Positive,Apple,81
476,"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}",iPad,Positive emotion,Positive,Apple,121
478,"Photo: By far, the best #sxsw accessory is an ipad. Followed closely by a margarita. ;-) {link}",iPad,Positive emotion,Positive,Apple,95
479,One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link},Google,Positive emotion,Positive,Google,82
481,I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW,Google,Positive emotion,Positive,Google,118
482,"The way I figure, an iPad 2 is a good replacement for not making it to #SXSW this year.",iPad,Positive emotion,Positive,Apple,87
487,Do it! RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link},UNKNOWN,Positive emotion,Positive,Apple,105
491,"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention",Google,Positive emotion,Positive,Google,129
492,Hey #SXSW folks please keep us posted on Google #Circles. Hope you're all having a blast! {link},Other Google product or service,Positive emotion,Positive,Google,96
497,Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,Positive emotion,Positive,Apple,61
499,Wish list for tech?  #NTN #SXSW Google Apps helps level the playing field for kids who may not have software at home,Android App,Positive emotion,Positive,Google,116
501,Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz,iPad or iPhone App,Positive emotion,Positive,Apple,78
511,Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link},iPad,Positive emotion,Positive,Apple,101
512,Good talk from AKQAs @mention on iPad interface w/ callback to design principles. My wish: go beyond media/marketing examples. #fb #SxSW,iPad,Positive emotion,Positive,Apple,136
513,Person in front of me just took a picture with his new iPad #sxsw,iPad,Positive emotion,Positive,Apple,65
520,Marketing Genius: Apple opens pop up store outside of #SXSW {link},Apple,Positive emotion,Positive,Apple,66
523,���@mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :)�۝ #Google #Circles #social,Other Google product or service,Positive emotion,Positive,Google,112
525,"After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2, or Apple TV! #sxsw",iPad,Positive emotion,Positive,Apple,102
530,Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),Google,Positive emotion,Positive,Google,118
531,"The #SXSW GO app no available for Blackberry and Windows 7 in addition to iPhone, iPad, and Android: {link}",iPad or iPhone App,Positive emotion,Positive,Apple,107
534,"I want to go to the Apple pop-up store, but I'm afraid I'll leave with a new iPad. #SXSW",iPad,Positive emotion,Positive,Apple,88
537,"OMG...I'm going down to #SXSW With: MacBook Pro, iPad, iPhone4, iPod, and a Galaxy Tab... #TechGeek",iPad,Positive emotion,Positive,Apple,99
